cutoff,mean precision,mean recall,mean f1
0.0,0.499987012987,1.0,0.665989340737
1e-08,0.518304140253,0.873036591049,0.64890538695
1e-07,0.522337560306,0.841901271072,0.643281068292
1e-06,0.527209228626,0.812483305615,0.637991239432
1e-05,0.531299696926,0.77084146563,0.62792960132
0.0001,0.538815797668,0.722032411898,0.615890302416
0.001,0.563213211808,0.673379889064,0.612103600825
0.002,0.574118467551,0.658105537719,0.612073679712
0.004,0.580327376968,0.632359876757,0.604100836103
0.006,0.586655939835,0.614447779218,0.599080144144
0.008,0.588647113099,0.601463411982,0.594120553484
0.01,0.59350400943,0.595693699842,0.593831404529
0.012,0.596053650026,0.587442448074,0.590842517439
0.014,0.596339770461,0.579524448398,0.586996349155
0.016,0.599171954569,0.571823083251,0.584212162684
0.018,0.603903058125,0.570770451672,0.585772495864
0.02,0.605829266015,0.568545224232,0.585636363957
0.022,0.606540970489,0.565237234369,0.584230290302
0.024,0.610801673554,0.564173404582,0.585554336045
0.026,0.609851678373,0.556260998015,0.58077072241
0.028,0.610191230462,0.555197168228,0.580333258148
0.03,0.609701034384,0.55399234895,0.579492083355
0.032,0.61088767235,0.549538019343,0.577519946425
0.034,0.612386173848,0.549538019343,0.578219416899
0.036,0.614209271629,0.548333200066,0.578368705829
0.04,0.630758693543,0.554322610074,0.588770076764
0.08,0.645619681564,0.519086837618,0.574330661961
0.12,0.657754453954,0.506626724465,0.570962218871
0.16,0.662112888438,0.490465762412,0.562082016302
0.2,0.668037163556,0.482391977882,0.558446564533
0.24,0.676980367176,0.476733063153,0.557626346433
0.28,0.680097055351,0.464263143358,0.550032227851
0.32,0.691169237342,0.457452263475,0.548206408561
0.36,0.695610470984,0.454106445747,0.546970370062
0.4,0.701901771174,0.443772354391,0.541431947025
0.44,0.713638514433,0.436912912045,0.539812786634
0.48,0.71793361913,0.430119091952,0.535851536985
0.52,0.723907998719,0.421138514085,0.530611436055
0.56,0.728611581401,0.415314476775,0.527258110882
0.6,0.725407878467,0.406158500455,0.519059753185
0.64,0.733565969784,0.403842570067,0.519006270531
0.68,0.737072933692,0.397029701448,0.513979394029
0.72,0.739247911432,0.392584159068,0.510581364308
0.76,0.750302447294,0.387076912691,0.508471727423
0.8,0.758647688639,0.383640220185,0.507081427334
0.84,0.764318399221,0.370884069828,0.497287176798
0.88,0.773554144729,0.362693880815,0.492362074424
0.92,0.778072171954,0.348975124224,0.480141721568
0.96,0.799918299774,0.331032196463,0.466251391677
0.962,0.800196054653,0.328725727746,0.464054174233
0.964,0.802735737192,0.328725727746,0.464487719823
0.966,0.804063164579,0.327602132241,0.463714800861
0.968,0.808117892937,0.326439341543,0.4632879639
0.97,0.809510810245,0.325276550845,0.462420971401
0.972,0.809510810245,0.325276550845,0.462420971401
0.974,0.810972959207,0.324113760148,0.461539335819
0.976,0.815766841586,0.322894247952,0.461112993998
0.978,0.817197548974,0.319445071052,0.45771565053
0.98,0.8213661913,0.319445071052,0.458473185293
0.982,0.824956388641,0.315899977461,0.455368755546
0.984,0.828384884635,0.312422430911,0.452364940363
0.986,0.832398187999,0.3101752399,0.450616708787
0.988,0.839161535304,0.304530267838,0.445270153845
0.99,0.844874532379,0.299913258329,0.441297923024
0.992,0.853635184128,0.299913258329,0.442304424325
0.994,0.858223643336,0.297530955436,0.440346858868
0.996,0.874413805409,0.292889443652,0.437628279001
0.998,0.881804191347,0.279179240132,0.422593901371
0.999,0.865611999313,0.250463402425,0.385470106022
0.9999,0.782671772672,0.0960825864691,0.168183496299
0.99999,0.715357142857,0.046127649006,0.0854726212436
0.999999,0.654444444444,0.0287380056892,0.0543608290005
0.9999999,0.633333333333,0.0135714071401,0.0263299201714
1.0,0.1,0.00121951219512,0.00240963855422
