cutoff,mean precision,mean recall,mean f1
0.04,0.575218747114,0.703592121986,0.629738442092
0.08,0.573995972332,0.703608214088,0.63170487943
0.12,0.573136572533,0.671044369003,0.617560178986
0.16,0.58436421712,0.668382816598,0.622699559966
0.2,0.592689143835,0.670310148637,0.62667654372
0.24,0.590524440785,0.677384302103,0.630094779734
0.28,0.589507466481,0.655672128606,0.620048509963
0.32,0.592547433287,0.651030871816,0.619655052238
0.36,0.594120563732,0.638339519218,0.61455901007
0.4,0.588555695372,0.61608638895,0.600384117436
0.44,0.59448659839,0.615429811285,0.603599115061
0.48,0.59551904152,0.6331406493,0.61163309504
0.52,0.597948093661,0.613427722539,0.604868861445
0.56,0.602871026761,0.616168267326,0.606540603614
0.6,0.605251333203,0.618010445726,0.609527928026
0.64,0.609382748361,0.611243910704,0.609368853191
0.68,0.606445578085,0.601145454661,0.60229498595
0.72,0.617347308304,0.603134472937,0.609093825892
0.76,0.613413824692,0.595045947443,0.60191379096
0.8,0.606589910311,0.559320106108,0.580933833916
0.84,0.616911533224,0.584630983216,0.598923456311
0.88,0.621240848033,0.575676061132,0.595882656836
0.92,0.618455099245,0.552029038377,0.582413981453
0.96,0.631764350546,0.549442667004,0.585641436405
0.962,0.627862267183,0.53913547498,0.579592123946
0.964,0.627650169223,0.542971544298,0.580545198877
0.966,0.623398235662,0.529183393032,0.570238596277
0.968,0.657287966987,0.548935798658,0.597355580717
0.97,0.623117623615,0.51935384399,0.565544623836
0.972,0.653909215697,0.549188049122,0.59624831635
0.974,0.627474230941,0.527706912218,0.572613846326
0.976,0.639765801967,0.522195494874,0.574287186447
0.978,0.63147144101,0.511421105158,0.564127614272
0.98,0.646431807393,0.518525460699,0.57407363916
0.982,0.638903102588,0.534061860268,0.578763293232
0.984,0.639612466256,0.505658898683,0.562282573986
0.986,0.65205270302,0.498752415966,0.564295280788
0.988,0.652068473456,0.526518451184,0.580402667292
0.99,0.656021525285,0.519503032713,0.578581756779
0.992,0.65429859885,0.491281364667,0.560623361713
0.994,0.652354767181,0.495863088049,0.560238206221
0.996,0.663318354084,0.472395008577,0.550813657642
0.998,0.662498156081,0.466989410745,0.547054294393
